"Code","Medal"
"AUS","Gold"
"AUS","Bronze"
"AUS","Gold"
"AUS","Bronze"
"AUS","Gold"
"AUS","Bronze"
"AUS","Bronze"
"AUS","Silver"
"AUS","Silver"
"AUS","Bronze"
"AUS","Gold"
"AUS","Bronze"
"AUS","Bronze"
"AUS","Gold"
"AUS","Silver"
"AUT","Bronze"
"AUT","Bronze"
"AUT","Bronze"
"AUT","Silver"
"AUT","Silver"
"AUT","Gold"
"AUT","Silver"
"AUT","Bronze"
"AUT","Silver"
"AUT","Bronze"
"AUT","Bronze"
"AUT","Silver"
"AUT","Gold"
"AUT","Bronze"
"AUT","Bronze"
"AUT","Silver"
"AUT","Bronze"
"AUT","Bronze"
"AUT","Bronze"
"AUT","Gold"
"AUT","Silver"
"AUT","Bronze"
"AUT","Bronze"
"AUT","Gold"
"AUT","Silver"
"AUT","Gold"
"AUT","Gold"
"AUT","Gold"
"AUT","Bronze"
"AUT","Bronze"
"AUT","Bronze"
"AUT","Gold"
"AUT","Silver"
"AUT","Silver"
"AUT","Gold"
"AUT","Bronze"
"AUT","Gold"
"AUT","Gold"
"AUT","Bronze"
"AUT","Gold"
"AUT","Silver"
"AUT","Gold"
"AUT","Bronze"
"AUT","Silver"
"AUT","Silver"
"AUT","Gold"
"AUT","Bronze"
"AUT","Silver"
"AUT","Silver"
"AUT","Bronze"
"AUT","Silver"
"AUT","Silver"
"AUT","Bronze"
"AUT","Bronze"
"AUT","Silver"
"AUT","Silver"
"AUT","Gold"
"AUT","Bronze"
"AUT","Silver"
"AUT","Gold"
"AUT","Silver"
"AUT","Silver"
"AUT","Bronze"
"AUT","Bronze"
"AUT","Silver"
"AUT","Gold"
"AUT","Silver"
"AUT","Bronze"
"AUT","Bronze"
"AUT","Gold"
"AUT","Bronze"
"AUT","Bronze"
"AUT","Silver"
"AUT","Bronze"
"AUT","Bronze"
"AUT","Bronze"
"AUT","Bronze"
"AUT","Gold"
"AUT","Bronze"
"AUT","Gold"
"AUT","Bronze"
